fips,admin2,province_state,country_region,last_update,lat,long_,confirmed,deaths,recovered,active,combined_key,uuid,created_at,updated_at
22001,Acadia,Louisiana,US,2020-04-20 23:36:47,30.2950649,-92.41419698,114,7,0,107,"Acadia, Louisiana, US",5d488a53-a052-4b61-91fd-307dc7e0efbb,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
51001,Accomack,Virginia,US,2020-04-20 23:36:47,37.76707161,-75.63234615,52,0,0,52,"Accomack, Virginia, US",ef925953-a4a3-44fa-b786-702a9b5f4bda,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
16001,Ada,Idaho,US,2020-04-20 23:36:47,43.4526575,-116.24155159999998,598,10,0,588,"Ada, Idaho, US",cb1eedd1-74f6-4434-958d-9f87ca05b914,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
19001,Adair,Iowa,US,2020-04-20 23:36:47,41.33075609,-94.47105874,1,0,0,1,"Adair, Iowa, US",8d95fe0b-5ab7-434b-a50b-573605ed1b40,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
21001,Adair,Kentucky,US,2020-04-20 23:36:47,37.10459774,-85.28129668,54,4,0,50,"Adair, Kentucky, US",37cb3f00-28d0-41fb-bcaa-668efb34977d,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
29001,Adair,Missouri,US,2020-04-20 23:36:47,40.19058551,-92.60078167,12,0,0,12,"Adair, Missouri, US",785c9faf-1e0c-471b-a868-02741fb86812,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
40001,Adair,Oklahoma,US,2020-04-20 23:36:47,35.88494195,-94.65859267,46,3,0,43,"Adair, Oklahoma, US",7c02ecc4-026c-40b8-8565-4e29b3356a9f,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
8001,Adams,Colorado,US,2020-04-20 23:36:47,39.87432092,-104.3362578,915,35,0,880,"Adams, Colorado, US",3129b5dd-44eb-4526-9745-6778452f980a,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
16003,Adams,Idaho,US,2020-04-20 23:36:47,44.89333571,-116.4545247,1,0,0,1,"Adams, Idaho, US",e1823d4b-a7b8-4037-931c-07188412be6b,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
17001,Adams,Illinois,US,2020-04-20 23:36:47,39.98815591,-91.18786813,34,0,0,34,"Adams, Illinois, US",de01c9aa-18b2-4e3c-8e32-2a1a609a39d2,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
18001,Adams,Indiana,US,2020-04-20 23:36:47,40.7457653,-84.93671406,7,1,0,6,"Adams, Indiana, US",9c5998cb-2101-461a-88ce-748ec9d59828,2020-04-21T05:45:56.848Z,2020-04-21T05:45:56.848Z
28001,Adams,Mississippi,US,2020-04-20 23:36:47,31.47669768,-91.35326037,83,6,0,77,"Adams, Mississippi, US",b19ea903-58f4-4089-a6eb-c2a6d0b11dd7,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
31001,Adams,Nebraska,US,2020-04-20 23:36:47,40.52449420000001,-98.50117804,100,0,0,100,"Adams, Nebraska, US",8975c49e-acdf-4441-8ddb-8f4d0560c533,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
39001,Adams,Ohio,US,2020-04-20 23:36:47,38.84541072,-83.4718964,3,0,0,3,"Adams, Ohio, US",a8250e99-3356-4daa-ba81-63b5cb77ccf5,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
42001,Adams,Pennsylvania,US,2020-04-20 23:36:47,39.87140411,-77.21610347,85,1,0,84,"Adams, Pennsylvania, US",e161d19f-9547-4c2d-ab49-63565baadaf3,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
53001,Adams,Washington,US,2020-04-20 23:36:47,46.98299757,-118.5601734,41,0,0,41,"Adams, Washington, US",cd27e295-91e4-4d53-8560-8c5418c02631,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
55001,Adams,Wisconsin,US,2020-04-20 23:36:47,43.96974651,-89.76782777,4,1,0,3,"Adams, Wisconsin, US",7e27503c-03e8-4c22-8039-c4ced2ef6f2b,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
50001,Addison,Vermont,US,2020-04-20 23:36:47,44.03217337,-73.14130877,61,2,0,59,"Addison, Vermont, US",748e0021-9cda-4d1b-9036-784e9f7bf527,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
45003,Aiken,South Carolina,US,2020-04-20 23:36:47,33.54338026,-81.63645384,70,4,0,66,"Aiken, South Carolina, US",14d57e17-773e-4c0b-8fcf-f870961f7fe7,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
27001,Aitkin,Minnesota,US,2020-04-20 23:36:47,46.60962049,-93.4116826,1,0,0,1,"Aitkin, Minnesota, US",49780021-956f-41c4-9770-5a3b927f1c63,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
12001,Alachua,Florida,US,2020-04-20 23:36:47,29.67866525,-82.35928158,218,0,0,218,"Alachua, Florida, US",4d964965-a694-47bd-b154-e16717f5b4c3,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
37001,Alamance,North Carolina,US,2020-04-20 23:36:47,36.0434701,-79.39976137,50,0,0,50,"Alamance, North Carolina, US",424659b8-9fbc-48c2-9301-f650fe3e5627,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
6001,Alameda,California,US,2020-04-20 23:36:47,37.64629437,-121.8929271,1193,42,0,1151,"Alameda, California, US",7e19edcb-d8c4-4fd8-b5e9-3f7675da6a18,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
8003,Alamosa,Colorado,US,2020-04-20 23:36:47,37.57250606,-105.7885451,7,2,0,5,"Alamosa, Colorado, US",1e20c442-9051-45a0-951b-4f7c8ac49c1d,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
36001,Albany,New York,US,2020-04-20 23:36:47,42.60060306,-73.97723916,687,22,0,665,"Albany, New York, US",489d84f0-a52a-4d4d-9e8d-b93da1907d4f,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
56001,Albany,Wyoming,US,2020-04-20 23:36:47,41.65498705,-105.7235415,6,0,0,6,"Albany, Wyoming, US",07f3f9d8-92dc-43a5-8c33-bd70025225c9,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
51003,Albemarle,Virginia,US,2020-04-20 23:36:47,38.02080697,-78.55481085,61,0,0,61,"Albemarle, Virginia, US",8020f74e-382e-4853-aa1f-19014c4cdd2d,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
26001,Alcona,Michigan,US,2020-04-20 23:36:47,44.6846864,-83.59507875,4,0,0,4,"Alcona, Michigan, US",920b5ba9-e1b9-4247-88f4-faaac3e073ce,2020-04-21T05:45:56.849Z,2020-04-21T05:45:56.849Z
